ID,myCity,usage,scale,category,area,perimeter,rentPriceabs,rentPriceNorm,vacant,diversityNorm,max_height,nbFloors,FAR,type,supported_people,neighbourhood,dorm,luxury,location.x,location.y
419,city(0),R,L,R,183.7410071718784,56.33188511241071,1467.266350510173,0.88373521286368,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,278.766756224424,537.6744063678018
420,city(0),R,M,R,63.71372151425291,32.98213778860017,1473.3250176842726,0.8920400777106144,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,446.7489299342078,534.2344731999469
421,city(0),R,L,R,97.71306550191649,40.71185601163002,1475.2825598254374,0.8947233614176402,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,494.7354141662591,533.4794561770899
422,city(0),R,M,R,120.68008756625036,49.65475549407232,1469.8749471879285,0.8873109238618899,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,365.29114683650414,534.1291781151428
423,city(0),R,M,R,127.8737149403415,47.167456260928184,1471.994594873329,0.8902164123207417,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,411.7280696305523,534.3892751914725
424,city(0),R,S,R,97.81484117339724,41.09375954609103,1465.5284805524036,0.881353042873798,8,0.0,35.0,3,0.75,BLDG,18,Wellington-Harrington,0,0,295.22589700267645,529.4711870624849
425,city(0),R,S,R,82.1472694905982,39.12431019204455,1465.9019038033887,0.8818649095172393,5,0.0,35.0,3,0.75,BLDG,15,Wellington-Harrington,0,0,306.8184271370936,527.0531594681015
426,city(0),R,S,R,150.66815977204422,51.89576615822259,1473.6793610665998,0.8925257907915729,0,0.7352633975197302,35.0,3,0.75,BLDG,30,Wellington-Harrington,0,0,480.9319168822585,528.243157965477
427,city(0),R,M,R,91.77518457902515,42.53739433316865,1472.2661410368619,0.8905886318408176,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,441.37371372627604,527.5088123273774
428,city(0),R,M,R,139.02190146647374,49.0330498067902,1468.4920443650913,0.8854153219563745,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,351.0217880292553,528.7513665595598
429,city(0),R,M,R,71.2362970599145,40.298854803373295,1471.5923156508252,0.8896649916076338,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,432.7701293749721,524.7499489559962
430,city(0),R,M,R,76.99754560983823,43.51471369969558,1472.863873178876,0.8914079679276912,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,469.50155823198907,524.6890629593456
431,city(0),R,M,R,62.83485801315057,34.72955625571678,1470.9401061501803,0.8887709811596103,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,425.36208823223154,521.8796172235852
432,city(0),O,M,O,438.8083164699576,116.23897140182918,0.0,0.0,0,0.0,35.0,3,0.75,BLDG,0,Wellington-Harrington,0,0,233.23796769326484,527.5262196727961
433,city(0),R,M,R,84.76495917825947,44.66862412391675,1471.9952849387191,0.8902173582218177,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,462.53205793605065,519.7267641469417
434,city(0),R,L,R,219.3235013945365,64.44893640394422,1464.1652614472337,0.8794844222514946,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,264.63246346839884,519.0645042581156
435,city(0),R,M,R,65.23055729465592,34.64758004122445,1471.4655080656078,0.8894911712232927,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,454.01214040900294,517.8426881466069
436,city(0),R,L,R,279.6424130973058,88.77082263754478,1466.933505104424,0.8832789679454106,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,339.99535720486807,520.8329042011212
437,city(0),R,M,R,88.75340608366706,41.6060508649142,1464.6105823136443,0.8800948419201752,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,278.9854091037224,515.9172831403529
438,city(0),R,M,R,64.1935992789056,35.95004310106673,1470.823663841723,0.8886113688874033,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,446.58720318600126,514.8748101918545
439,city(0),R,M,R,117.01599218021799,63.05426525053891,1465.1654144526306,0.8808553732044674,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,290.5714781599539,515.1603995409315
440,city(0),R,M,R,182.69782079451537,66.97975858980716,1468.3711217463585,0.885249568338185,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,387.44888733248143,514.1376919748811
441,city(0),R,M,R,64.07760384099562,34.37274370665736,1470.115625226408,0.8876408311705043,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,440.0816358876424,511.1969935201282
442,city(0),R,M,R,203.1821592577808,57.8117317570766,1463.1440860744215,0.8780846550729181,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,303.29262990255256,506.46177496392886
443,city(0),R,M,R,64.58945136473375,34.82958140957359,1469.4387877103104,0.8867130620864796,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,431.8214852403022,508.31157158385247
444,city(0),R,M,R,123.90977453516811,45.34017813834156,1471.7688487414907,0.8899069727920859,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,493.84503957285824,507.1735432184855
445,city(0),R,M,R,101.26130757441103,43.06201950865041,1464.3324072609407,0.8797135359084557,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,331.4520817238547,503.68242655276117
446,city(0),R,M,R,96.94236252381702,43.06100005816405,1467.344204392941,0.883841930390096,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,392.9215257753033,504.22724985545415
447,city(0),R,S,R,72.89806878828432,35.900347265586326,1468.7421547704894,0.8857581585991467,2,0.0,35.0,3,0.75,BLDG,12,Wellington-Harrington,0,0,424.8473130386735,504.9631493409151
448,city(0),R,M,R,244.02408913316174,65.76535684424262,1459.4017565981114,0.8729548897928054,2,0.0,35.0,3,0.75,BLDG,12,Wellington-Harrington,0,0,212.3101999751636,506.7931684524418
449,city(0),R,S,R,91.39725661878946,38.52033518186797,1470.0963336469688,0.8876143874073263,8,0.0,35.0,3,0.75,BLDG,18,Wellington-Harrington,0,0,479.5221659606941,501.0382942253275
450,city(0),R,S,R,73.47090846955206,36.913147560914055,1467.8362933565977,0.8845164570175541,2,0.0,35.0,3,0.75,BLDG,12,Wellington-Harrington,0,0,419.8994011787808,499.4298848018224
451,city(0),R,M,R,106.93337622826019,43.620760165642466,1459.9951024005925,0.8737682133432666,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,228.6987736258273,502.9286169326813
452,city(0),R,S,R,122.13985398801697,45.814066267590505,1471.5147309535887,0.8895586430649223,4,0.0,35.0,3,0.75,BLDG,24,Wellington-Harrington,0,0,508.8986157643088,501.09817351472884
453,city(0),R,S,R,105.9381233977016,45.74080303730307,1460.2825399004075,0.87416221577306,1,0.463899554207236,35.0,3,0.75,BLDG,21,Wellington-Harrington,0,0,240.3577059401738,499.2983329716831
